Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
1,"CRW_00006.txt",468,113,Yes,6303890
2,"CRW_00010.txt",454,126,Yes,1277679
3,"CRW_00011.txt",487,138,Yes,1007859
4,"CRW_00013.txt",456,115,Yes,907649
5,"CRW_00014.txt",456,123,Yes,981881
6,"CRW_00015.txt",429,86,Yes,648477
7,"CRW_00016.txt",394,120,Yes,391188
8,"CRW_00017.txt",430,91,Yes,352402
9,"CRW_00608.txt",268,79,Yes,183037
10,"CRW_00609.txt",423,93,Yes,275723
11,"CRW_00610.txt",270,81,Yes,174044
12,"CRW_00611.txt",251,75,Yes,155182
13,"CRW_00613.txt",265,78,Yes,253563
14,"CRW_00614.txt",494,57,Yes,231953
15,"CRW_00618.txt",336,61,Yes,166122
16,"CRW_00626.txt",450,104,Yes,250547
17,"CRW_00627.txt",443,112,Yes,438124
18,"CRW_00628.txt",408,121,Yes,278844
19,"CRW_00629.txt",428,122,Yes,278789
20,"CRW_00630.txt",425,120,Yes,147737
21,"CRW_00631.txt",425,120,Yes,172976
22,"CRW_00632.txt",408,128,Yes,145123
23,"CRW_00633.txt",357,106,Yes,152395
24,"CRW_00634.txt",360,94,Yes,111353
25,"CRW_00635.txt",468,137,Yes,175473
26,"CRW_00636.txt",480,143,Yes,182203
27,"CRW_00638.txt",479,137,Yes,234966
28,"CRW_00641.txt",283,76,Yes,92258
29,"CRW_00642.txt",308,65,Yes,113447
30,"CRW_00643.txt",497,122,Yes,179196
31,"CRW_00644.txt",267,73,Yes,93505
32,"CRW_00645.txt",267,67,Yes,77528
33,"CRW_00646.txt",265,64,Yes,73830
34,"CRW_00647.txt",274,67,Yes,90805
35,"CRW_00650.txt",476,142,Yes,128812
36,"CRW_00651.txt",448,121,Yes,160505
37,"CRW_00653.txt",436,134,Yes,145217
38,"CRW_00654.txt",396,124,Yes,189319
39,"CRW_00655.txt",423,124,Yes,190242
40,"CRW_00656.txt",426,129,Yes,125675
41,"CRW_00657.txt",461,136,Yes,127512
42,"CRW_00658.txt",387,102,Yes,139857
43,"CRW_00659.txt",255,61,Yes,74659
44,"CRW_00660.txt",211,60,Yes,67577
45,"CRW_00661.txt",221,51,Yes,96845
46,"CRW_00662.txt",240,65,Yes,78572
47,"CRW_00663.txt",229,61,Yes,96340
48,"CRW_00664.txt",328,78,Yes,98859
49,"CRW_00665.txt",218,48,Yes,86081
50,"CRW_00666.txt",439,126,Yes,118097
51,"CRW_00667.txt",462,127,Yes,161102
52,"CRW_00669.txt",442,119,Yes,189989
53,"CRW_00670.txt",375,120,Yes,231231
54,"CRW_00671.txt",355,117,Yes,127860
55,"CRW_00672.txt",381,111,Yes,209929
56,"CRW_00673.txt",448,105,Yes,149669
57,"CRW_00674.txt",409,124,Yes,129656
58,"CRW_00675.txt",390,106,Yes,119614
59,"CRW_00676.txt",433,115,Yes,119080
60,"CRW_00677.txt",380,105,Yes,125005
61,"CRW_00679.txt",392,107,Yes,121448
62,"CRW_00681.txt",476,112,Yes,132425
63,"CRW_00686.txt",437,125,Yes,138087
64,"CRW_00687.txt",240,66,Yes,65607
65,"CRW_00688.txt",210,57,Yes,55741
66,"CRW_00689.txt",260,77,Yes,59233
67,"CRW_00690.txt",259,69,Yes,64774
68,"CRW_00691.txt",234,67,Yes,55364
69,"CRW_00692.txt",371,90,Yes,88060
70,"CRW_00693.txt",423,122,Yes,99451
71,"CRW_00694.txt",415,122,Yes,103795
72,"CRW_00695.txt",451,132,Yes,174453
73,"CRW_00696.txt",451,132,Yes,152901
74,"CRW_00697.txt",447,129,Yes,177398
75,"CRW_00698.txt",451,132,Yes,102939
76,"CRW_00699.txt",429,126,Yes,106782
77,"CRW_00703.txt",285,66,Yes,107158
78,"CRW_00715.txt",373,104,Yes,234812
79,"CRW_00721.txt",343,68,Yes,131360
